Date,Description,Amount,Card,Category,Sub Category
2024-05-23,Glow & Co.,64.41,Mastercard,Merchandise,Personal Care
2024-02-13,GameHub,68.85,Mastercard,Entertainment,Games
2024-12-19,City Line,16.27,Visa,Travel & Housing,Public Transit
2024-05-30,JoyStick Arena,32.98,Amex,Entertainment,Games
2024-08-30,BookHaven,46.28,Amex,Merchandise,Books
2024-12-25,GoCab,21.07,Visa,Travel & Housing,Rideshare
2024-04-08,ElectroMart,225.95,Mastercard,Merchandise,Electronics
2024-04-08,GameHub,88.33,Amex,Entertainment,Games
2024-02-21,TuneTown,42.48,Amex,Entertainment,Music
2024-01-08,TuneTown,97.69,Amex,Entertainment,Music
2024-12-23,PlayPort,105.36,Amex,Entertainment,Games
2024-08-28,City Line,5.32,Visa,Travel & Housing,Public Transit
2024-05-09,AeroAirlines,368.51,Visa,Travel & Housing,Flights
2024-10-22,Bistro 21,67.72,Amex,Food,Dining
2024-02-13,ReelHouse,32.93,Mastercard,Entertainment,Movies
2024-09-24,City Line,7.35,Discover,Travel & Housing,Public Transit
2024-06-05,QuickEats,16.76,Mastercard,Food,Delivery
2024-11-16,SoundWave,17.31,Mastercard,Entertainment,Music
2024-03-29,Bistro 21,41.55,Discover,Food,Dining
2024-05-29,Urban Diner,60.95,Discover,Food,Dining
2024-02-06,SoundWave,63.08,Mastercard,Entertainment,Music
2024-08-05,Door2Dish,43.09,Amex,Food,Delivery
2024-03-13,Whole Market,123.04,Amex,Food,Groceries
2024-08-12,Taco Corner,12.47,Discover,Food,Fast Food
2024-05-19,Metro Transit,12.76,Discover,Travel & Housing,Public Transit
2024-06-14,TechPoint,110.85,Visa,Merchandise,Electronics
2024-12-10,Glow & Co.,92.76,Mastercard,Merchandise,Personal Care
2024-08-28,RideFly,59.84,Discover,Travel & Housing,Rideshare
2024-11-21,SkyWings,330.53,Amex,Travel & Housing,Flights
2024-06-13,Urban Diner,41.76,Discover,Food,Dining
2024-05-27,RentPay,936.91,Amex,Travel & Housing,Rent/Utilities
2024-05-09,Gizmo World,349.34,Visa,Merchandise,Electronics
2024-12-02,Metro Transit,5.38,Amex,Travel & Housing,Public Transit
2024-11-14,Metro Transit,5.66,Mastercard,Travel & Housing,Public Transit
2024-05-27,Metro Transit,2.52,Mastercard,Travel & Housing,Public Transit
2024-12-29,SoundWave,11.23,Discover,Entertainment,Music
2024-02-17,Downtown Movies,38.41,Mastercard,Entertainment,Movies
2024-09-12,Care Corner,36.44,Discover,Merchandise,Personal Care
2024-08-29,JoyStick Arena,21.63,Mastercard,Entertainment,Games
2024-11-02,Downtown Movies,33.18,Discover,Entertainment,Movies
2024-06-23,Gizmo World,297.27,Discover,Merchandise,Electronics
2024-03-17,City Utilities,722.99,Discover,Travel & Housing,Rent/Utilities
2024-08-21,Wardrobe Co.,59.18,Discover,Merchandise,Clothing
2024-04-29,SkyWings,616.19,Discover,Travel & Housing,Flights
2024-07-16,PlayPort,19.52,Amex,Entertainment,Games
2024-02-21,JetTrail,735.52,Visa,Travel & Housing,Flights
2024-03-14,Grand Stay Hotel,243.1,Amex,Travel & Housing,Lodging
2024-06-22,SkyWings,693.69,Discover,Travel & Housing,Flights
2024-06-11,RentPay,1254.05,Mastercard,Travel & Housing,Rent/Utilities
2024-11-19,Wardrobe Co.,31.72,Visa,Merchandise,Clothing
2024-11-20,QuickBite,19.49,Visa,Food,Fast Food
2024-01-24,Gizmo World,159.42,Discover,Merchandise,Electronics
2024-03-15,Arena Tickets,152.33,Mastercard,Entertainment,Events
2024-03-28,ReelHouse,36.13,Mastercard,Entertainment,Movies
2024-09-11,BingeBox,18.84,Discover,Entertainment,Streaming
2024-05-10,Burger Hub,19.2,Mastercard,Food,Fast Food
2024-02-07,MoveNow,23.56,Discover,Travel & Housing,Rideshare
2024-12-19,Readers' Roost,19.94,Discover,Merchandise,Books
2024-09-04,Urban Diner,52.17,Amex,Food,Dining
2024-12-24,ElectroMart,173.43,Visa,Merchandise,Electronics
2024-10-16,QuickEats,35.84,Amex,Food,Delivery
2024-04-27,Wardrobe Co.,50.17,Amex,Merchandise,Clothing
2024-12-13,ReelHouse,29.39,Amex,Entertainment,Movies
2024-08-13,MealDash,47.15,Visa,Food,Delivery
2024-05-31,PageTurner Books,20.06,Amex,Merchandise,Books
2024-09-28,Urban Threads,184.1,Discover,Merchandise,Clothing
2024-05-31,Gizmo World,386.08,Mastercard,Merchandise,Electronics
2024-04-25,City Utilities,226.09,Discover,Travel & Housing,Rent/Utilities
2024-01-08,Glow & Co.,57.3,Amex,Merchandise,Personal Care
2024-10-26,RideFly,43.09,Discover,Travel & Housing,Rideshare
2024-01-13,Glow & Co.,79.48,Discover,Merchandise,Personal Care
2024-12-24,PageTurner Books,15.48,Visa,Merchandise,Books
2024-06-04,AeroAirlines,249.06,Mastercard,Travel & Housing,Flights
2024-07-17,MoveNow,57.37,Discover,Travel & Housing,Rideshare
2024-10-27,JoyStick Arena,16.39,Discover,Entertainment,Games
2024-11-11,RideFly,43.89,Mastercard,Travel & Housing,Rideshare
2024-08-15,City Suites,98.75,Amex,Travel & Housing,Lodging
2024-10-05,Gizmo World,128.46,Visa,Merchandise,Electronics
2024-08-20,Garden Grill,56.57,Visa,Food,Dining
2024-01-26,Style Street,160.59,Mastercard,Merchandise,Clothing
2024-02-05,City Concerts,207.94,Mastercard,Entertainment,Events
2024-06-17,City Concerts,87.39,Mastercard,Entertainment,Events
2024-03-07,Style Street,137.3,Visa,Merchandise,Clothing
2024-03-08,Daily Brew,10.07,Visa,Food,Coffee
2024-03-30,TechPoint,303.14,Visa,Merchandise,Electronics
2024-02-02,City Line,11.24,Visa,Travel & Housing,Public Transit
2024-08-19,City Concerts,188.63,Amex,Entertainment,Events
2024-08-22,FreshMart,130.15,Discover,Food,Groceries
2024-12-17,Taco Corner,23.37,Visa,Food,Fast Food
2024-02-11,Glow & Co.,12.55,Amex,Merchandise,Personal Care
2024-11-15,BookHaven,44.79,Discover,Merchandise,Books
2024-09-15,JetTrail,162.38,Mastercard,Travel & Housing,Flights
2024-08-08,City Suites,192.18,Discover,Travel & Housing,Lodging
2024-07-23,SkyWings,387.27,Amex,Travel & Housing,Flights
2024-07-10,PlayPort,15.49,Visa,Entertainment,Games
2024-02-17,JetTrail,611.93,Mastercard,Travel & Housing,Flights
2024-10-11,QuickEats,38.96,Visa,Food,Delivery
2024-07-29,BookHaven,8.86,Amex,Merchandise,Books
2024-11-03,Nest & Nook,148.7,Mastercard,Merchandise,Home Goods
2024-03-20,Grand Stay Hotel,196.54,Amex,Travel & Housing,Lodging
2024-02-28,Glow & Co.,97.83,Visa,Merchandise,Personal Care
2024-11-07,TechPoint,127.48,Amex,Merchandise,Electronics
2024-06-22,TechPoint,351.2,Discover,Merchandise,Electronics
2024-02-05,Silver Screen Cinema,32.38,Mastercard,Entertainment,Movies
2024-07-11,City Line,4.83,Amex,Travel & Housing,Public Transit
2024-06-15,Whole Market,40.46,Visa,Food,Groceries
2024-12-11,Bean & Leaf,10.94,Discover,Food,Coffee
2024-11-06,City Line,5.88,Visa,Travel & Housing,Public Transit
2024-06-25,SkyWings,568.32,Discover,Travel & Housing,Flights
2024-09-26,TechPoint,173.22,Visa,Merchandise,Electronics
2024-01-04,TuneTown,79.06,Amex,Entertainment,Music
2024-05-28,TechPoint,211.52,Discover,Merchandise,Electronics
2024-03-30,JoyStick Arena,85.92,Amex,Entertainment,Games
2024-02-06,SkyWings,93.49,Visa,Travel & Housing,Flights
2024-06-09,City Utilities,1433.52,Discover,Travel & Housing,Rent/Utilities
2024-05-28,QuickBite,24.39,Mastercard,Food,Fast Food
2024-11-12,RideFly,30.71,Visa,Travel & Housing,Rideshare
2024-05-04,City Utilities,1071.73,Discover,Travel & Housing,Rent/Utilities
2024-06-07,Urban Threads,159.14,Visa,Merchandise,Clothing
2024-09-18,QuickEats,21.31,Amex,Food,Delivery
2024-06-28,Streamify,10.49,Mastercard,Entertainment,Streaming
2024-03-29,Silver Screen Cinema,38.54,Discover,Entertainment,Movies
2024-08-25,Power & Water Co.,1288.83,Amex,Travel & Housing,Rent/Utilities
2024-11-17,Urban Threads,27.63,Discover,Merchandise,Clothing
2024-11-19,Living Loft,23.48,Visa,Merchandise,Home Goods
2024-06-07,Metro Transit,3.02,Amex,Travel & Housing,Public Transit
2024-02-09,QuickEats,36.34,Discover,Food,Delivery
2024-10-24,Taco Corner,18.73,Amex,Food,Fast Food
2024-11-05,RentPay,1917.56,Discover,Travel & Housing,Rent/Utilities
2024-02-22,ElectroMart,267.3,Visa,Merchandise,Electronics
2024-05-06,Rapid Rail,11.41,Mastercard,Travel & Housing,Public Transit
2024-07-05,HomeWorks,108.1,Amex,Merchandise,Home Goods
2024-12-13,Daily Brew,6.96,Discover,Food,Coffee
2024-05-25,Glow & Co.,43.34,Mastercard,Merchandise,Personal Care
2024-06-28,PageTurner Books,49.63,Visa,Merchandise,Books
2024-06-07,RideFly,42.85,Visa,Travel & Housing,Rideshare
2024-11-26,City Utilities,85.55,Amex,Travel & Housing,Rent/Utilities
2024-04-02,Melody Mart,27.28,Mastercard,Entertainment,Music
2024-03-20,Daily Brew,9.09,Visa,Food,Coffee
2024-12-04,Glow & Co.,73.68,Mastercard,Merchandise,Personal Care
2024-03-24,City Concerts,187.27,Visa,Entertainment,Events
2024-07-29,Urban Threads,127.96,Discover,Merchandise,Clothing
2024-04-29,Melody Mart,91.36,Mastercard,Entertainment,Music
2024-07-07,City Line,16.01,Discover,Travel & Housing,Public Transit
2024-03-23,City Concerts,221.43,Visa,Entertainment,Events
2024-11-24,MoveNow,56.58,Visa,Travel & Housing,Rideshare
2024-05-25,Urban Diner,44.21,Mastercard,Food,Dining
2024-08-11,Urban Diner,72.5,Visa,Food,Dining
2024-07-31,Taco Corner,13.73,Discover,Food,Fast Food
2024-02-11,Style Street,73.96,Visa,Merchandise,Clothing
2024-12-31,Style Street,22.09,Discover,Merchandise,Clothing
2024-12-22,GameHub,75.77,Visa,Entertainment,Games
2024-01-10,Style Street,116.53,Discover,Merchandise,Clothing
2024-02-26,Urban Threads,37.54,Mastercard,Merchandise,Clothing
2024-08-02,AeroAirlines,682.42,Discover,Travel & Housing,Flights
2024-11-01,QuickEats,23.61,Mastercard,Food,Delivery
2024-05-29,JetTrail,334.03,Discover,Travel & Housing,Flights
2024-04-05,MealDash,15.25,Visa,Food,Delivery
2024-07-18,JetTrail,358.55,Amex,Travel & Housing,Flights
2024-05-09,Daily Brew,7.14,Visa,Food,Coffee
2024-10-24,Style Street,80.18,Amex,Merchandise,Clothing
2024-11-25,JoyStick Arena,60.03,Mastercard,Entertainment,Games
2024-03-10,QuickBite,12.28,Visa,Food,Fast Food
2024-04-12,Bean & Leaf,9.18,Discover,Food,Coffee
2024-05-09,Urban Diner,38.2,Visa,Food,Dining
2024-12-01,Nest & Nook,201.84,Discover,Merchandise,Home Goods
2024-07-23,City Line,19.53,Discover,Travel & Housing,Public Transit
2024-12-20,MoveNow,21.87,Visa,Travel & Housing,Rideshare
2024-08-05,Taco Corner,24.91,Mastercard,Food,Fast Food
2024-10-06,Nest & Nook,29.22,Amex,Merchandise,Home Goods
2024-06-05,Power & Water Co.,880.93,Discover,Travel & Housing,Rent/Utilities
2024-06-28,JetTrail,706.43,Amex,Travel & Housing,Flights
2024-11-10,MoveNow,58.96,Visa,Travel & Housing,Rideshare
2024-02-08,MoveNow,49.66,Mastercard,Travel & Housing,Rideshare
2024-01-16,Festival Pass,200.8,Visa,Entertainment,Events
2024-03-05,Garden Grill,38.81,Discover,Food,Dining
2024-10-17,Door2Dish,44.59,Amex,Food,Delivery
2024-07-09,JetTrail,179.14,Amex,Travel & Housing,Flights
2024-07-22,Nest & Nook,240.52,Visa,Merchandise,Home Goods
2024-04-05,City Utilities,1831.41,Visa,Travel & Housing,Rent/Utilities
2024-05-14,PageTurner Books,79.73,Amex,Merchandise,Books
2024-12-21,Grand Stay Hotel,112.93,Visa,Travel & Housing,Lodging
2024-08-19,PlayPort,98.21,Amex,Entertainment,Games
2024-12-07,ElectroMart,228.31,Amex,Merchandise,Electronics
2024-03-21,SoundWave,30.18,Mastercard,Entertainment,Music
2024-03-12,PlayPort,46.5,Amex,Entertainment,Games
2024-08-27,City Concerts,39.79,Discover,Entertainment,Events
2024-09-02,Rapid Rail,3.33,Amex,Travel & Housing,Public Transit
2024-11-24,Burger Hub,19.24,Amex,Food,Fast Food
2024-03-06,BingeBox,16.55,Visa,Entertainment,Streaming
2024-03-04,TuneTown,24.58,Mastercard,Entertainment,Music
2024-06-26,Gizmo World,98.61,Amex,Merchandise,Electronics
2024-03-05,Care Corner,15.74,Mastercard,Merchandise,Personal Care
2024-10-30,CinemaCloud,18.62,Amex,Entertainment,Streaming
2024-10-15,Whole Market,25.91,Amex,Food,Groceries
2024-11-29,Arena Tickets,164.07,Visa,Entertainment,Events
2024-09-11,HomeWorks,68.77,Discover,Merchandise,Home Goods
2024-06-01,JetTrail,123.14,Discover,Travel & Housing,Flights
2024-07-31,Metro Transit,8.12,Mastercard,Travel & Housing,Public Transit
2024-06-09,HomeWorks,41.38,Amex,Merchandise,Home Goods
2024-09-20,Daily Brew,8.6,Amex,Food,Coffee
2024-08-18,Streamify,8.86,Discover,Entertainment,Streaming
2024-11-11,Grand Stay Hotel,377.26,Amex,Travel & Housing,Lodging
2024-04-07,JoyStick Arena,58.68,Amex,Entertainment,Games
2024-09-11,FreshMart,85.71,Mastercard,Food,Groceries
2024-04-20,TechPoint,130.51,Discover,Merchandise,Electronics
2024-05-26,FreshMart,37.41,Amex,Food,Groceries
2024-07-06,RideFly,28.83,Mastercard,Travel & Housing,Rideshare
2024-07-04,Gizmo World,214.1,Amex,Merchandise,Electronics
2024-11-15,Bistro 21,40.6,Amex,Food,Dining
2024-10-12,Style Street,126.46,Discover,Merchandise,Clothing
2024-09-13,Whole Market,37.81,Amex,Food,Groceries
2024-08-30,Harbor Inn,408.32,Mastercard,Travel & Housing,Lodging
2024-06-16,Urban Threads,198.26,Amex,Merchandise,Clothing
2024-10-30,Care Corner,66.22,Amex,Merchandise,Personal Care
2024-08-31,Bean & Leaf,11.09,Discover,Food,Coffee
2024-10-25,ElectroMart,202.97,Mastercard,Merchandise,Electronics
2024-01-27,Harbor Inn,305.32,Discover,Travel & Housing,Lodging
2024-03-16,ReelHouse,38.45,Visa,Entertainment,Movies
2024-04-07,Burger Hub,14.54,Discover,Food,Fast Food
2024-12-19,JoyStick Arena,94.12,Discover,Entertainment,Games
2024-02-01,City Concerts,151.2,Discover,Entertainment,Events
2024-09-26,RideFly,31.9,Amex,Travel & Housing,Rideshare
2024-10-06,Living Loft,126.2,Mastercard,Merchandise,Home Goods
2024-05-22,Urban Threads,157.67,Mastercard,Merchandise,Clothing
2024-12-19,GoCab,26.14,Amex,Travel & Housing,Rideshare
2024-05-27,QuickEats,38.07,Discover,Food,Delivery
2024-06-25,TuneTown,35.89,Visa,Entertainment,Music
2024-06-26,MoveNow,32.91,Mastercard,Travel & Housing,Rideshare
2024-10-02,Care Corner,36.24,Visa,Merchandise,Personal Care
2024-11-11,Streamify,19.39,Mastercard,Entertainment,Streaming
2024-11-22,Silver Screen Cinema,22.4,Discover,Entertainment,Movies
2024-02-21,ReelHouse,39.34,Mastercard,Entertainment,Movies
2024-07-27,Rapid Rail,5.59,Amex,Travel & Housing,Public Transit
2024-06-13,TechPoint,269.61,Mastercard,Merchandise,Electronics
2024-09-30,Urban Diner,72.35,Mastercard,Food,Dining
2024-01-19,Metro Transit,18.86,Amex,Travel & Housing,Public Transit
2024-01-20,Café Aurora,10.23,Amex,Food,Coffee
2024-05-25,Power & Water Co.,1013.13,Mastercard,Travel & Housing,Rent/Utilities
2024-09-15,RideFly,50.06,Amex,Travel & Housing,Rideshare
2024-03-24,MoveNow,17.68,Amex,Travel & Housing,Rideshare
2024-05-31,CinemaCloud,22.55,Discover,Entertainment,Streaming
2024-08-06,Gizmo World,275.97,Mastercard,Merchandise,Electronics
2024-03-12,RideFly,8.36,Discover,Travel & Housing,Rideshare
2024-04-30,GoCab,23.7,Visa,Travel & Housing,Rideshare
2024-05-13,Style Street,138.54,Discover,Merchandise,Clothing
2024-06-06,JoyStick Arena,62.79,Amex,Entertainment,Games
2024-12-19,Bean & Leaf,10.38,Mastercard,Food,Coffee
2024-03-09,City Suites,351.62,Amex,Travel & Housing,Lodging
2024-07-31,Power & Water Co.,1659.93,Mastercard,Travel & Housing,Rent/Utilities
2024-12-14,MealDash,37.35,Amex,Food,Delivery
2024-02-09,SuperFoods,137.38,Mastercard,Food,Groceries
2024-10-20,BingeBox,22.53,Discover,Entertainment,Streaming
2024-02-29,Arena Tickets,45.46,Discover,Entertainment,Events
2024-01-29,Harbor Inn,222.02,Visa,Travel & Housing,Lodging
2024-10-13,MoveNow,9.13,Amex,Travel & Housing,Rideshare
2024-01-02,City Concerts,35.19,Amex,Entertainment,Events
2024-12-24,Door2Dish,56.86,Visa,Food,Delivery
2024-08-29,Bean & Leaf,5.16,Mastercard,Food,Coffee
2024-11-24,GoCab,31.32,Discover,Travel & Housing,Rideshare
2024-07-11,Door2Dish,43.37,Amex,Food,Delivery
2024-03-01,Arena Tickets,143.99,Mastercard,Entertainment,Events
2024-01-02,Bean & Leaf,11.08,Discover,Food,Coffee
2024-09-29,Grand Stay Hotel,239.64,Mastercard,Travel & Housing,Lodging
2024-05-21,Silver Screen Cinema,34.28,Discover,Entertainment,Movies
2024-11-10,Bistro 21,19.37,Visa,Food,Dining
2024-08-16,Garden Grill,17.88,Discover,Food,Dining
2024-04-29,Silver Screen Cinema,25.12,Amex,Entertainment,Movies
2024-04-29,Care Corner,93.84,Amex,Merchandise,Personal Care
2024-05-01,Wardrobe Co.,111.43,Discover,Merchandise,Clothing
2024-06-02,ElectroMart,380.7,Mastercard,Merchandise,Electronics
2024-11-16,City Utilities,141.42,Amex,Travel & Housing,Rent/Utilities
2024-11-25,City Utilities,1407.8,Discover,Travel & Housing,Rent/Utilities
2024-03-17,PageTurner Books,61.58,Discover,Merchandise,Books
2024-05-03,SoundWave,22.99,Discover,Entertainment,Music
2024-01-30,Rapid Rail,11.54,Discover,Travel & Housing,Public Transit
2024-05-04,Urban Threads,134.64,Discover,Merchandise,Clothing
2024-07-08,QuickEats,51.81,Visa,Food,Delivery
2024-05-17,Power & Water Co.,127.12,Visa,Travel & Housing,Rent/Utilities
2024-04-06,PlayPort,104.99,Amex,Entertainment,Games
2024-06-04,Bistro 21,77.54,Visa,Food,Dining
2024-09-02,Festival Pass,71.02,Mastercard,Entertainment,Events
2024-10-09,HomeWorks,121.9,Amex,Merchandise,Home Goods
2024-06-06,Living Loft,221.87,Discover,Merchandise,Home Goods
2024-02-20,RideFly,27.28,Discover,Travel & Housing,Rideshare
2024-01-24,Streamify,12.43,Discover,Entertainment,Streaming
2024-05-31,BingeBox,11.91,Mastercard,Entertainment,Streaming
2024-09-12,HomeWorks,241.96,Discover,Merchandise,Home Goods
2024-08-23,TuneTown,22.6,Discover,Entertainment,Music
2024-04-04,Door2Dish,52.28,Visa,Food,Delivery
2024-12-08,FreshMart,37.87,Mastercard,Food,Groceries
2024-02-04,Silver Screen Cinema,25.17,Amex,Entertainment,Movies
2024-01-31,Metro Transit,2.12,Discover,Travel & Housing,Public Transit
2024-01-07,QuickEats,25.19,Amex,Food,Delivery
2024-01-09,Grand Stay Hotel,418.04,Mastercard,Travel & Housing,Lodging
2024-05-03,Festival Pass,81.79,Amex,Entertainment,Events
2024-05-16,SkyWings,770.69,Discover,Travel & Housing,Flights
2024-10-16,BingeBox,19.63,Visa,Entertainment,Streaming
2024-11-30,FreshMart,69.3,Discover,Food,Groceries
2024-01-29,Bistro 21,47.49,Discover,Food,Dining
2024-11-26,Glow & Co.,107.9,Visa,Merchandise,Personal Care
2024-04-27,Arena Tickets,86.0,Visa,Entertainment,Events
2024-12-16,Care Corner,80.68,Mastercard,Merchandise,Personal Care
2024-06-10,Garden Grill,24.37,Discover,Food,Dining
2024-02-09,Wardrobe Co.,59.49,Discover,Merchandise,Clothing
2024-12-12,BookHaven,15.5,Visa,Merchandise,Books
